;link;eng_name;rus_name;year;duration;country;genre;director_name;rating
0;https://www.kinopoisk.ru/film/1249172/;;Последний богатырь: Корень зла;2020;121;Россия;фэнтези;Дмитрий Дьяченко;
1;https://www.kinopoisk.ru/film/8366/;The Thing;Нечто;1982;109;США;ужасы;Джон Карпентер;7.9
2;https://www.kinopoisk.ru/film/79850/;;Ночной дозор;2004;115;Россия;фэнтези;Тимур Бекмамбетов;
3;https://www.kinopoisk.ru/film/8151/;Interview with the Vampire: The Vampire Chronicles;Интервью с вампиром;1994;123;США;драма;Нил Джордан;8.0
4;https://www.kinopoisk.ru/film/4322004/;;Плакать нельзя;2022;125;Россия;триллер;Наталья Назарова;
5;https://www.kinopoisk.ru/film/424994/;Justice League;Лига справедливости;2017;110;США;фантастика;Зак Снайдер;
6;https://www.kinopoisk.ru/film/824437/;King Arthur: Legend of the Sword;Меч короля Артура;2017;126;Великобритания;фэнтези;Гай Ричи;7.2
7;https://www.kinopoisk.ru/film/4446967/;20segi sonyeo;Девушка XX века;2022;119;Корея Южная;мелодрама;Пан У-ри;7.9
8;https://www.kinopoisk.ru/film/4664634/;Oppenheimer;Оппенгеймер;2023;202;Великобритания;драма;Кристофер Нолан;
9;https://www.kinopoisk.ru/film/4517052/;;Легенды Орлёнка;2021;202;Россия;комедия;Ольга Беляева;7.4
10;https://www.kinopoisk.ru/film/75871/;Oldeuboi;Олдбой;2003;120;Корея Южная;триллер;Пак Чхан-ук;8.1
11;https://www.kinopoisk.ru/film/4873689/;Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen;О моём перерождении в слизь. Фильм;2022;202;Япония;;;
12;https://www.kinopoisk.ru/film/485311/;The King's Speech;Король говорит!;2010;118;Великобритания;драма;Том Хупер;8.0
13;https://www.kinopoisk.ru/film/312/;The Lord of the Rings: The Two Towers;Властелин колец: Две крепости;2002;179;Новая Зеландия;фэнтези;Питер Джексон;8.6
14;https://www.kinopoisk.ru/film/903831/;Frozen II;Холодное сердце 2;2019;103;США;мультфильм;Крис Бак;7.3
15;https://www.kinopoisk.ru/film/4397602/;Gæsterne;Не говори никому;2022;202;Дания;триллер;Кристиан Тафдруп;
16;https://www.kinopoisk.ru/film/865302/;The VVitch: A New-England Folktale;Ведьма;2015;201;Канада;ужасы;Роберт Эггерс;
17;https://www.kinopoisk.ru/film/1236739/;Call Jane;Звоните Джейн;2022;121;США;драма;Филлис Наж;
18;https://www.kinopoisk.ru/film/522876/;The Age of Adaline;Век Адалин;2015;113;США;драма;Ли Толанд Кригер;7.7
19;https://www.kinopoisk.ru/film/102128/;The Time Traveler's Wife;Жена путешественника во времени;2008;107;США;фантастика;Роберт Швентке;7.7
